EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,24296590644.0
RI Guajará,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,139673986.0
Ananindeua,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,13285364.0
Belém,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,99129199.0
Benevides,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,12266072.0
Marituba,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,2144901.0
Santa Bárbara do Pará,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,1284845.0
Fonte: FAPESPA/IBGE,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,
Elaboração: FAPESPA,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Agropecuria,
Pará,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Indstria,1.1132113318200006e+16
RI Guajará,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Indstria,5.296317048e+16
Ananindeua,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Indstria,1035307804.0
Belém,5 Guajará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri guajara.xlsx,Guajará,VA_Indstria,3549131614.0
