EstadoMunicpios,Ranking_Estadual,Ranking_Regional,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,-,-,-,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,2.5454651119799996e+16
RI Guajará,10,,100,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,5842880982700001.0
Ananindeua,4,2,19.637397172683638,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,11473897449.0
Belém,1,1,69.37683956770971,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,40536061655.0
Benevides,15,3,5.713183076779771,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,3338144875.0
Marituba,16,4,4.758820243357273,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,278052203.0
Santa Bárbara do Pará,116,5,0.513759939469595,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,300183818.0
Fonte: FAPESPA/IBGE,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,
Elaboração: FAPESPA,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,PIB_R_1000,
Pará,-,-,-,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,100.0
RI Guajará,10,,100,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,2.2954080003693684e+16
Ananindeua,4,2,19.637397172683638,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,4507583857660884.0
Belém,1,1,69.37683956770971,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,1.5924815258406304e+16
Benevides,15,3,5.713183076779771,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,1.3114086142015168e+16
Marituba,16,4,4.758820243357273,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,1.0923434058921988e+16
Santa Bárbara do Pará,116,5,0.513759939469595,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,1.17928867532779e+16
Fonte: FAPESPA/IBGE,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,
Elaboração: FAPESPA,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará,Partipao_no_Par_,
