Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guajará,614755240.77,12.600184800050027,13403654.089999998,12.60018479320949,236533263.75,43.05107985136989,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Ananindeua,116849967.05,2.3949876000497627,2547707.5,2.394987596926695,43020390.17,7.830079469935688,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Belém,400334958.25,8.20537040001835,8728597.899999999,8.205370400275697,182651965.83999997,33.24422215176712,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Benevides,42079876.72,0.86248020004061,917477.51,0.8624801932361497,4130976.3600000003,0.751873078310244,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Marituba,44915349.769999996,0.9205968000403297,979300.01,0.9205968022703502,6177146.45,1.1242935596307058,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Santa Bárbara do Pará,10575088.98,0.2167497999009739,230571.16999999998,0.2167498005005977,552784.9299999999,0.10061159172612953,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Fonte: DITES-SEFA,,,,,,,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
Elaboração: FAPESPA,,,,,,,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
*Nota 1: Deduzidos 20% de contribuição ao FUNDEB,,,,,,,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
**Nota 2: Deduzidos 50% de contribuição ao FUNDEB,,,,,,,5 Guajará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guajara.xlsx",Guajará
