EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196,1999423,6029379,682394,7.8335282549032295,44.47915780381363,34.129546374128935,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
RI Guajará,2117471,370717,1520691,226063,10.676084820051845,39.24400157559951,60.9799388752067,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Ananindeua,509227,93565,370691,44971,8.831228509093195,37.37236674211135,48.06391278790146,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Belém,1397315,232263,999180,165872,11.870766434197014,39.846173862567305,71.4155935297486,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Benevides,68962,15031,48614,5317,7.710043212203822,41.85625539967911,35.373561306632965,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Marituba,119437,24886,86564,7987,6.687207481768631,37.97537082389908,32.09435023708109,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Santa Bárbara do Pará,22530,4972,15642,1916,8.504216600088771,44.03528960490986,38.53580048270314,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
Elaboração: FAPESPA,,,,,,,,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
"Nota1: Indicador calculado com base na referência internacional de comparação, onde a população considerada ativa ",,,,,,,,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
é composta por pessoas de 15 a 64 anos de idade e a população idosa formada pelas pessoas com 65 anos e mais de idade.,,,,,,,,5 Guajará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_guajará.xlsx,Guajará
