EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,2810011.0
RI Guajará,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,818039.0
Ananindeua,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,192663.0
Belém,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,560966.0
Benevides,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,22025.0
Marituba,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,37675.0
Santa Bárbara do Pará,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,4710.0
Fonte: DENATRAN,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,
Elaboração: FAPESPA,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Total,
Pará,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará,Automvel,765312.0
