Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,4052.0,5.7796460038141096e+16,5.9304047384007896e+16,4.0695952615992104e+16,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Castanhal,1186.0,5712826885931321.0,5.590219224283305e+16,4409780775716695.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Colares,79.0,5840603282566908.0,5443037974683544.0,4556962025316456.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Curuçá,241.0,5426339134937969.0,6182572614107884.0,3817427385892116.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,251.0,6630563994188351.0,6175298804780876.0,3824701195219124.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Inhangapi,60.0,5579319323042588.0,5500000000000001.0,45.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Magalhães Barata,47.0,5576649264356906.0,4.4680851063829784e+16,5.5319148936170216e+16,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Maracanã,173.0,6358657698386445.0,6.300578034682081e+16,3699421965317919.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Marapanim,194.0,6902686354741149.0,5721649484536082.0,4278350515463917.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,359.0,4.5839345225174616e+16,5.961002785515321e+16,4.03899721448468e+16,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
Santa Maria do Pará,192.0,7471980074719801.0,640625.0,359375.0,0.0,6 Guamá,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri guama.xlsx,Guamá
