Par,118515,3181875711935198,8295152512340211,23502510230772476,6234231953761127,2678142007340843,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,8529.0,253253605346465.0,5592683784734436.0,2.1960370500644856e+16,6956266854261929.0,3.517411185367569e+16,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Castanhal,2683.0,8945210585165859.0,4174431606410734.0,1.8673127096533732e+16,7618337681699589.0,7454342154304880.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Colares,126.0,7936507936507936.0,1.8253968253968252e+16,3253968253968254.0,3.968253968253968e+16,1.5873015873015872e+16,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Curuçá,421.0,1.4251781472684086e+16,6175771971496437.0,2850356294536817.0,6.365795724465558e+16,2.375296912114014e+16,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,469.0,1.0660980810234542e+16,3.837953091684435e+16,1.9616204690831556e+16,7547974413646055.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Inhangapi,157.0,6369426751592357.0,445859872611465.0,2229299363057325.0,7261146496815286.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Magalhães Barata,90.0,1.1111111111111112e+16,888888888888889.0,3222222222222222.0,5777777777777777.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Maracanã,336.0,2.6785714285714284e+16,6845238095238096.0,2.172619047619048e+16,6785714285714286.0,8928571428571428.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Marapanim,256.0,2734375.0,7421875.0,2421875.0,65625.0,0.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,820.0,2682926829268293.0,6463414634146342.0,2.487804878048781e+16,6548780487804878.0,4878048780487805.0,6 Guamá,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guama.xlsx,Guamá
