Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,4052.0
Castanhal,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,1186.0
Colares,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,79.0
Curuçá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,241.0
Igarapé-Açu,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,251.0
Inhangapi,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,60.0
Magalhães Barata,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,47.0
Maracanã,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,173.0
Marapanim,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,194.0
Santa Izabel do Pará,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,359.0
Santa Maria do Pará,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,192.0
Santo Antônio do Tauá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,173.0
São Caetano de Odivelas,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,113.0
São Domingos do Capim,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,154.0
São Francisco do Pará,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,89.0
São João da Ponta,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,44.0
São Miguel do Guamá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,310.0
Terra Alta,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,70.0
Vigia,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,317.0
Fonte: DATASUS,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,
Elaboração: FAPESPA,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,
*Nota: Dados Preliminares extraídos em Outubro/2025.,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,45314,
RI Guamá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,253.0
Castanhal,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,84.0
Colares,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,4.0
Curuçá,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,15.0
Igarapé-Açu,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,11.0
Inhangapi,6 Guamá,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri guama.xlsx,Guamá,2472,3.0
