Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Castanhal,CLINICA DE ACIDENT SAO FRANCISCO ,Hospital Especializado,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
,ABSJ ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
,HOSPITAL MAGALHAES ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
,HOSPITAL MUNICIPAL DE URGENCIA E EMERGEN MARIA LAISE PEREIRA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
,HOSPITAL REGIONAL PUBLICO DE CASTANHAL ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Curuçá,HOSPITAL MUNICIPAL DE CURUCA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Igarapé-Açu,HOSPITAL MATERNIDADE JOSE BERNARDO DA SILVEIRA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Inhangapi,HOSPITAL MUNICIPAL DE INHANGAPI ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Maracanã,HOSPITAL MUNICIPAL DE MARACANA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Marapanim,HOSPITAL MUNICIPAL DE MARAPANIM ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Santa Izabel do Pará,HOSPITAL MUNICIPAL DR EDILSON ABREU ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Santa Maria do Pará,HOSPITAL DA ORDEM TERCEIRA UNIDADE DE SANTA MARIA DO PARA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Santo Antônio do Tauá,HOSPITAL E MATERNIDADE SANTO ANTONIO ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
São Domingos do Capim,HOSPITAL MUNICIPAL DE SAO DOMINGOS DO CAPIM ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
São Miguel do Guamá,HOSPITAL MUNICIPAL DE SAO MIGUEL DO GUAMA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Vigia,HOSPITAL MUNICIPAL DE VIGIA ,Hospital Geral,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Fonte: DATASUS,,,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
*Nota: Dados referentes a Novembro/2025.,,,6 Guamá,19,Caracterização Hospitalar por  Tipo - 2025 ri guama,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri guama.xlsx,Guamá
