EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,8711196.0
RI Guamá,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,704891.0
Castanhal,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,209126.0
Colares,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,13625.0
Curuçá,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,44880.0
Igarapé-Açu,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,37925.0
Inhangapi,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,10784.0
Magalhães Barata,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,8439.0
Maracanã,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,27129.0
Marapanim,6 Guamá,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guamá.xlsx",Guamá,Populao_Estimada_Total__2025,28159.0
