EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
RI Guamá,410.0,126.0,92.0,6.0,209.0,811.0,138.0,29.0,10.0,106.0,77.0,265.0,17.0,105.0,1.0,6.0,0.0,52.0,115.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Castanhal,228.0,56.0,60.0,5.0,135.0,357.0,82.0,18.0,7.0,22.0,39.0,75.0,11.0,52.0,0.0,4.0,0.0,41.0,51.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Colares,8.0,4.0,0.0,0.0,3.0,12.0,2.0,1.0,0.0,5.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Curuçá,11.0,2.0,1.0,0.0,4.0,30.0,5.0,1.0,1.0,6.0,4.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Igarapé-Açu,16.0,7.0,6.0,0.0,9.0,48.0,8.0,5.0,0.0,6.0,3.0,21.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Inhangapi,4.0,2.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Magalhães Barata,2.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Maracanã,13.0,5.0,0.0,0.0,3.0,31.0,2.0,0.0,0.0,8.0,2.0,14.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Marapanim,4.0,4.0,0.0,0.0,1.0,28.0,3.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Santa Izabel do Pará,35.0,13.0,6.0,0.0,18.0,55.0,4.0,0.0,1.0,12.0,4.0,30.0,0.0,8.0,0.0,0.0,0.0,4.0,13.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Santa Maria do Pará,10.0,2.0,1.0,0.0,4.0,18.0,5.0,0.0,0.0,5.0,2.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Santo Antônio do Tauá,13.0,5.0,2.0,0.0,7.0,25.0,3.0,1.0,0.0,2.0,5.0,13.0,2.0,3.0,0.0,0.0,0.0,2.0,6.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
São Caetano de Odivelas,3.0,5.0,2.0,0.0,1.0,19.0,4.0,0.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
São Domingos do Capim,10.0,4.0,2.0,0.0,2.0,36.0,4.0,0.0,0.0,8.0,2.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
São Francisco do Pará,3.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,3.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
São João da Ponta,0.0,1.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
São Miguel do Guamá,29.0,8.0,8.0,1.0,15.0,50.0,3.0,1.0,1.0,9.0,3.0,18.0,0.0,4.0,0.0,1.0,0.0,2.0,6.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Terra Alta,5.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Vigia,16.0,6.0,1.0,0.0,4.0,41.0,6.0,1.0,0.0,8.0,2.0,7.0,1.0,8.0,0.0,1.0,0.0,2.0,5.0,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,6 Guamá,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guama.xlsx,Guamá
