Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,90117.0
Castanhal,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,42659.0
Colares,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,580.0
Curuçá,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,2098.0
Igarapé-Açu,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,2821.0
Inhangapi,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,1143.0
Magalhães Barata,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,1486.0
Maracanã,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,3203.0
Marapanim,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,2282.0
Santa Izabel do Pará,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,11883.0
Santa Maria do Pará,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,2355.0
Santo Antônio do Tauá,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,5015.0
São Caetano de Odivelas,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,1352.0
São Domingos do Capim,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,2226.0
São Francisco do Pará,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,1035.0
São João da Ponta,6 Guamá,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri guama.xlsx,Guamá,1445663,440.0
