Par,326240796288622,321345718915439,33301152930946,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,2195822637360477.0,2.0393256640054332e+16,2.414420741859757e+16,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Castanhal,22755427133782.0,218113049563141.0,241616380543886.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Colares,29160642413793.0,279103807947019.0,305188402877696.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Curuçá,262893560533815.0,232634407801405.0,298081523711299.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Igarapé-Açu,212539125841904.0,207912160288414.0,220734036345777.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Inhangapi,173706700787407.0,181749945859877.0,163898627184472.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Magalhães Barata,10993254710633.0,940890961761318.0,131879414125208.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Maracanã,209034254136751.0,198279546153844.0,221047113681438.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Marapanim,556441446099896.0,563412387706852.0,547708845014777.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Santa Izabel do Pará,237735185390895.0,233040391606769.0,250169109610075.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Santa Maria do Pará,214116118895964.0,196163171135648.0,235058471941116.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
Santo Antônio do Tauá,16689973519442.0,18370697109429.0,143740973921294.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
São Caetano de Odivelas,277392278846156.0,240358180825248.0,335187916666664.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
São Domingos do Capim,198700659029642.0,20771737979798.0,191478528317139.0,6 Guamá,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guama.xlsx,Guamá
