EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
RI Guamá,356209.0,348682.0,1.0215870047779924e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Castanhal,101244.0,107882.0,9384698096067926.0,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Colares,6855.0,6770.0,1.0125553914327918e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Curuçá,22693.0,22187.0,1.0228061477441746e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Igarapé-Açu,18912.0,19013.0,9946878451585756.0,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Inhangapi,5490.0,5294.0,1.0370230449565544e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Magalhães Barata,4339.0,4100.0,1.0582926829268292e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Maracanã,13967.0,13162.0,1.0611609177936484e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Marapanim,14522.0,13637.0,1.0648969714746646e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Santa Izabel do Pará,43669.0,35526.0,1.2292124078139956e+16,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
Santa Maria do Pará,12818.0,12997.0,9862275909825344.0,6 Guamá,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_guamá.xlsx,Guamá
