EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
RI Guamá,119.0,701081.0,1697378762225763.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Castanhal,39.0,207603.0,1878585569572694.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Colares,2.0,13526.0,1.478633742422002e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Curuçá,10.0,44413.0,2.2515930020489492e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Igarapé-Açu,6.0,37855.0,1.5849953770968168e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Inhangapi,0.0,10754.0,0.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Magalhães Barata,0.0,8428.0,0.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Maracanã,4.0,27207.0,1.4702098724592936e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Marapanim,1.0,28105.0,3.558085749866572e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Santa Izabel do Pará,13.0,78317.0,1.6599205791845956e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Santa Maria do Pará,1.0,25696.0,3891656288916563.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Santo Antônio do Tauá,9.0,29134.0,3.089174160774353e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
São Caetano de Odivelas,3.0,17248.0,1.7393320964749536e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
São Domingos do Capim,8.0,32449.0,2465407254460846.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
São Francisco do Pará,4.0,15418.0,2594370216629913.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
São João da Ponta,1.0,4509.0,2.2177866489243732e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
São Miguel do Guamá,6.0,55798.0,1.0753073586866912e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Terra Alta,4.0,10815.0,3698566805362922.0,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
Vigia,8.0,53806.0,1.4868230308887484e+16,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá
