EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,2211.0
RI Guamá,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,119.0
Castanhal,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,39.0
Colares,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,2.0
Curuçá,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,10.0
Igarapé-Açu,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,6.0
Inhangapi,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,0.0
Magalhães Barata,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,0.0
Maracanã,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,4.0
Marapanim,6 Guamá,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri guama.xlsx",Guamá,bitos_por_Agresses_,1.0
