EstadoMunicpios,rea_Territorial_IBGEkm,rea_Cadastrvel_km,_de_rea_Cadastrvel,rea_de_CAR_km,_de_rea_de_CAR,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.2458722699999996e+16,5848309106000001.0,4694148225965414.0,5058925174.0,865.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
RI Guamá,1.1525569999999998e+16,1.0010795099999998e+16,8685726692909765.0,62545218.0,6247777261967935.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Castanhal,10293.0,9504589.0,9234031866316914.0,696284.0,7574.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Colares,38406.0,238185.0,6201765349164193.0,740041.0,311.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Curuçá,67632.0,4323592.0,6392819966879583.0,14192.0,3146.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Igarapé-Açu,78598.0,7839989999999999.0,9974795796330694.0,5.017915e+16,6401.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Inhangapi,4726.0,4.473045e+16,9464758781210324.0,2792713.0,6226.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Magalhães Barata,32398.0,2.135015e+16,6589959256744244.0,974974.0,4565.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Maracanã,80762.0,49059.0,6.074515242316932e+16,2226972.0,4218.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Marapanim,80462.0,6087957.0,7566251149610996.0,2613332.0,4183.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Santa Izabel do Pará,71766.0,6867539999999999.0,956935038876348.0,4701961.0,6847.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
Santa Maria do Pará,45772.0,4.574991000000001e+16,9995173905444376.0,2810003.0,6142.0,6 Guamá,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri guama.xlsx",Guamá
