Par,23001070720,2051340906,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,258724629,17675701,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,241048928.0
Castanhal,244505870,8980660,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,235525210.0
Colares,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Curuçá,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Igarapé-Açu,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Inhangapi,3520029,8645,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,3511384.0
Magalhães Barata,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Maracanã,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Marapanim,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Santa Izabel do Pará,8242527,6920577,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,1321950.0
Santa Maria do Pará,2239,6387,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,-4148.0
Santo Antônio do Tauá,1260834,1692934,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,-432100.0
São Caetano de Odivelas,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
São Domingos do Capim,240186,33898,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,206288.0
São Francisco do Pará,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
São João da Ponta,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
São Miguel do Guamá,0,32600,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,-32600.0
Terra Alta,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,0.0
Vigia,952944,0,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,952944.0
Fonte: MDIC - COMEX STAT,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,
Elaboração: FAPESPA,,,6 Guamá,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri guama.xlsx",Guamá,20949729814,
