EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
RI Guamá,298758.0,2418.0,7907.0,24679.0,1746.0,1093.0,5277.0,17076050.0,1603160.0,0,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Castanhal,51550.0,380.0,2174.0,6623.0,183.0,270.0,1275.0,4650000.0,28000.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Colares,1136.0,9.0,32.0,45.0,3.0,72.0,70.0,3000.0,95.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Curuçá,2732.0,,87.0,150.0,38.0,20.0,116.0,470000.0,29500.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Igarapé-Açu,21888.0,15.0,658.0,2038.0,122.0,19.0,707.0,134614.0,2245.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Inhangapi,13041.0,236.0,282.0,816.0,58.0,55.0,485.0,370000.0,3900.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Magalhães Barata,2012.0,10.0,61.0,142.0,13.0,3.0,145.0,2570.0,515.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Maracanã,3540.0,,85.0,255.0,26.0,14.0,77.0,489066.0,444605.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Marapanim,5189.0,796.0,105.0,820.0,81.0,,29.0,36200.0,1800.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Santa Izabel do Pará,32330.0,111.0,726.0,3900.0,450.0,88.0,387.0,7600000.0,632000.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Santa Maria do Pará,21722.0,40.0,373.0,460.0,45.0,2.0,348.0,30000.0,3600.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
Santo Antônio do Tauá,6204.0,12.0,411.0,820.0,85.0,74.0,268.0,650000.0,320000.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
São Caetano de Odivelas,4643.0,51.0,89.0,10.0,3.0,9.0,18.0,110000.0,5300.0,-,6 Guamá,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guama.xlsx,Guamá
