Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guamá,2.5911040583999996e+16,5310794899626474.0,5649445529999999.0,5310794890646967.0,3.3867252879999996e+16,6164130088799896.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Castanhal,8189555038999999.0,1.6785526999710052e+16,178558808.0,1.6785527007398424e+16,1942528574.0,353556837744525.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Colares,7.37244656e+16,1.511076001046209e+16,1607432.0,1.511076017518915e+16,11882885.0,2.1627868439694e+16,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Curuçá,9335682530000000.0,1913465999334332.0,2.035481e+16,1.913466027312768e+16,61970723.0,1.127920234990679e+16,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Igarapé-Açu,10805531.0,2.214730000384139e+16,23559555.0,2.214729988199677e+16,194852569.0,3.546483642203394e+16,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Inhangapi,773020446.0,1.584402999414399e+16,1.6854347999999998e+16,1.584403013857997e+16,2.4019615e+16,4371775652058410.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Magalhães Barata,691113318.0,1.416523999643907e+16,15068507.0,1.416523967888899e+16,7303020000000001.0,1.32921218855904e+16,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Maracanã,894776303.0,1833957000250065.0,1950902.0,1.833957035028347e+16,27822807.0,5063989169456730.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Marapanim,86200301.0,1766783998554471.0,18794455.0,1.766783926961666e+16,3.2989844999999996e+16,6004434339858530.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
Santa Izabel do Pará,3516979251.0,7208493000407142.0,76681531.0,7208492955268605.0,3.49244447e+16,6356548054626215.0,6 Guamá,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri guama.xlsx",Guamá
