EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,58736419115.84,56716548571.42,19418082537.85,29012900314.88,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
RI Guamá,2509571356.3900003,2470389696.47,2201150430.13,186701977.74,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Castanhal,820847412.72,815784096.1,670942410.57,107094745.62,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Colares,61639843.16,61414843.16,59116983.28,1548723.5,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Curuçá,184981834.8,181943887.4,166811743.97,9599405.3,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Igarapé-Açu,146571070.66,144077134.36,131027152.57,8386029.87,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Inhangapi,66854209.18,61419193.41,58294797.1,1940587.45,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Magalhães Barata,55771273.44,54799915.71,53480863.7,628097.33,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Maracanã,149220822.96,146809623.06,141147609.03,4109845.65,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Marapanim,122743193.36,118542163.96,109450632.02,4878074.07,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Santa Izabel do Pará,304468604.11,294041739.3,260015355.39,20925666.23,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Santa Maria do Pará,**,**,**,**,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Santo Antônio do Tauá,**,**,**,**,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
São Caetano de Odivelas,95701599.77,90785607.78,83668638.6,3209259.35,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
São Domingos do Capim,193162042.17,193162042.17,181195547.23,8483717.52,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
São Francisco do Pará,**,**,**,**,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
São João da Ponta,**,**,**,**,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
São Miguel do Guamá,307609450.06,307609450.06,285998696.67,15897825.85,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
Terra Alta,**,**,**,**,6 Guamá,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri guama.xlsx",Guamá
