Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,115916.0
Castanhal,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,60577.0
Colares,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,545.0
Curuçá,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,2465.0
Igarapé-Açu,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,6943.0
Inhangapi,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1110.0
Magalhães Barata,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,355.0
Maracanã,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1127.0
Marapanim,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1424.0
Santa Izabel do Pará,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,14438.0
Santa Maria do Pará,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,5501.0
Santo Antônio do Tauá,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,3419.0
São Caetano de Odivelas,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1058.0
São Domingos do Capim,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1260.0
São Francisco do Pará,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,2707.0
São João da Ponta,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,323.0
São Miguel do Guamá,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,7041.0
Terra Alta,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,1036.0
Vigia,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,4587.0
Fonte: DETRAN,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,
Elaboração: FAPESPA,6 Guamá,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá,..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri guamá.xlsx,Guamá,1382057,
