Par,col,1,437,1_2,19,681,3,480,747,21,2,261,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guamá,-,-,45,-,-,59,-,54,65,2,-,22,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,428.0
Castanhal,-,-,22,-,-,31,-,12,36,1,-,14,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,12.0
Colares,-,-,-,-,-,-,-,5,-,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,22.0
Curuçá,-,-,1,-,-,1,-,4,2,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,38.0
Igarapé-Açu,-,-,2,-,-,3,-,10,4,-,-,2,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,8.0
Inhangapi,-,-,-,-,-,-,-,1,-,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,
Magalhães Barata,-,-,-,-,-,-,-,2,-,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,17.0
Maracanã,-,-,-,-,-,-,-,-,-,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,66.0
Marapanim,-,-,2,-,-,2,-,-,1,-,-,-,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,32.0
Santa Izabel do Pará,-,-,5,-,-,6,-,-,6,-,-,3,6 Guamá,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá","..\..\Desktop\tabelas-powerBI\6 Guamá\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guamá.xlsx",Guamá,3344,33.0
