Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,45.0,3.700000000000001e+16,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,46.0,4.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,44.0,31.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,45.0,37.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,42.0,34.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,47.0,4.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,46.0,36.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,45.0,41.0,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: MEC - INEP,,,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,7 Lago de Tucuruí,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri lago de tucurui.xlsx,Lago de Tucuruí
