Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,1819.0,5.35950524017596e+16,6140736668499175.0,3831775700934579.0,2748763056624519.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,248.0,5237481784967582.0,6491935483870968.0,3508064516129033.0,0.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,140.0,5173879300787169.0,7142857142857143.0,2857142857142857.0,0.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,244.0,4675493896947516.0,6598360655737704.0,3319672131147541.0,819672131147541.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,302.0,7866427027167826.0,5.662251655629139e+16,4.337748344370861e+16,0.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,87.0,6034542553929389.0,6206896551724138.0,3793103448275862.0,0.0,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,297.0,4.658531229413057e+16,6565656565656566.0,3400673400673401.0,3.367003367003366e+16,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,501.0,5205843845466448.0,5.489021956087824e+16,4471057884231537.0,3.992015968063871e+16,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,7 Lago de Tucuruí,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
