Par,13678533514398037,4142176095852846,5848120491077079,009703413070075517,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,1.4107372781727594e+16,3583959899749373.0,6401420217209692.0,1.461988304093567e+16,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,1.4065172858017782e+16,4354354354354354.0,5645645645645646.0,0.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,1.3747736427805906e+16,1075268817204301.0,8924731182795699.0,0.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,1.2953417517772624e+16,3.905325443786983e+16,6020710059171598.0,7396449704142012.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,1.4300226615613032e+16,3151183970856102.0,6848816029143899.0,0.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,1.102864673649164e+16,4779874213836478.0,5220125786163522.0,0.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,164695548514603.0,3.1333333333333336e+16,6857142857142857.0,9523809523809520.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,1.3674432136993704e+16,4133738601823708.0,5858662613981763.0,7598784194528870.0,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,7 Lago de Tucuruí,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
