Par,118515,3181875711935198,8295152512340211,23502510230772476,6234231953761127,2678142007340843,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,4788.0,7309941520467835.0,6599832915622389.0,2291144527986633.0,6317878028404345.0,6578947368421052.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,666.0,4.504504504504504e+16,6306306306306306.0,2147147147147147.0,6.231231231231232e+16,945945945945946.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,372.0,1.0752688172043012e+16,3494623655913978.0,2.1236559139784948e+16,7231182795698925.0,1881720430107527.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,676.0,1.0355029585798818e+16,9763313609467456.0,3284023668639053.0,5.576923076923077e+16,591715976331361.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,549.0,546448087431694.0,7103825136612022.0,1.85792349726776e+16,721311475409836.0,1639344262295082.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,159.0,0.0,880503144654088.0,2.9559748427672956e+16,6163522012578616.0,0.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,1050.0,2857142857142857.0,6.952380952380953e+16,2.4571428571428572e+16,6476190476190476.0,3428571428571429.0,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,1316.0,1.1398176291793314e+16,5243161094224924.0,1.8693009118541036e+16,6003039513677811.0,1.4893617021276596e+16,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,,,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,7 Lago de Tucuruí,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
