Par,118515,09770915074041261,17936126228747415,28677382609796226,24599417795215793,1656330422309412,870185208623381,25439817744589295,00008437750495717842,27655302109597697,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,4788.0,1.1069340016708438e+16,2.3015873015873016e+16,2.9761904761904764e+16,2.328738512949039e+16,1.3784461152882204e+16,7121971595655806.0,1921470342522974.0,0.0,2390415943570509.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,666.0,1.0510510510510512e+16,2.5825825825825828e+16,3003003003003003.0,2.312312312312312e+16,1.2462462462462462e+16,5105105105105105.0,2.4024024024024024e+16,0.0,1.921817913032459e+16,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,372.0,1.3440860215053764e+16,2.553763440860215e+16,3360215053763441.0,2.28494623655914e+16,1.1559139784946236e+16,3763440860215054.0,1.3440860215053764e+16,0.0,7398647400125652.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,676.0,1.0355029585798818e+16,2.72189349112426e+16,2.899408284023669e+16,2.2485207100591716e+16,1.1982248520710058e+16,6.3609467455621304e+16,1.923076923076923e+16,0.0,3705903769137908.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,549.0,1.2750455373406192e+16,2.258652094717669e+16,3151183970856102.0,2.1311475409836064e+16,1.5300546448087432e+16,6193078324225866.0,1.8214936247723132e+16,0.0,4178062566747415.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,159.0,3.1446540880503148e+16,2389937106918239.0,1949685534591195.0,3.1446540880503144e+16,1.1320754716981132e+16,7547169811320755.0,3.1446540880503148e+16,0.0,4147880973850315.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,1050.0,1.4285714285714286e+16,2342857142857143.0,3.352380952380953e+16,22.0,1180952380952381.0,6666666666666667.0,1.1428571428571428e+16,0.0,1.6140163754431094e+16,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,1316.0,5319148936170213.0,1.846504559270517e+16,2.644376899696049e+16,2.477203647416413e+16,1724924012158055.0,1.0182370820668692e+16,2.3556231003039516e+16,0.0,8884224526694237.0,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: DATASUS,,,,,,,,,,,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,,,7 Lago de Tucuruí,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri lago de tucurui.xlsx,Lago de Tucuruí
