Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Breu Branco,UNIDADE MISTA DE SAUDE DR INACIO GABRIEL ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,HOSPITAL MUNICIPAL DE ITUPIRANGA ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,HOSPITAL MUNICIPAL E MATERNIDADE MARIA CECILIA DE OLIVEIRA ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
,HOSPITAL SAMARITANO ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,HOSPITAL MUNICIPAL DE NOVA IPIXUNA ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,HOSPITAL MUNICIPAL SAO FRANCISCO ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,CLINICA TUCURUI ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
,HOSPITAL MUNICIPAL DE TUCURUI ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
,HOSPITAL REGIONAL DE TUCURUI ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
,HOSPITAL SANTA ANGELICA ,Hospital Geral,7 Lago de Tucuruí,19,Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri lago de tucurui.xlsx,Lago de Tucuruí
