Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,34414.0,3,1817.0,340,545.0,7682.0,5020.0,16826.0,2181.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Breu Branco,3870.0,3,474.0,-,232.0,814.0,352.0,1690.0,305.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Goianésia do Pará,2589.0,-,237.0,-,42.0,592.0,320.0,1006.0,392.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Itupiranga,2983.0,-,52.0,42,54.0,630.0,287.0,1462.0,456.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Jacundá,3765.0,-,536.0,30,62.0,1029.0,494.0,1420.0,194.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Nova Ipixuna,1688.0,-,174.0,-,,172.0,22.0,1168.0,152.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Novo Repartimento,4646.0,-,101.0,25,21.0,1215.0,518.0,2249.0,517.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Tucuruí,14873.0,-,243.0,243,134.0,3230.0,3027.0,7831.0,165.0,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Fonte: MTE-RAIS,,,,,,,,,,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,7 Lago de Tucuruí,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui,..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri lago de tucurui.xlsx,Lago de Tucuruí
