EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
RI Lago de Tucuruí,124.0,339397.0,3.653538481483336e+16,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Breu Branco,19.0,47351.0,4.012586851386455e+16,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Goianésia do Pará,10.0,27059.0,3695628071990835.0,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Itupiranga,16.0,52187.0,3.0658976373426332e+16,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Jacundá,25.0,38391.0,6511942903284624.0,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Nova Ipixuna,5.0,14417.0,346812790455712.0,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Novo Repartimento,26.0,63754.0,4078175487028265.0,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Tucuruí,23.0,96238.0,2.3899083522101456e+16,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Fonte: DATASUS,,,,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
Elaboração: FAPESPA,,,,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
*Dados Preliminares extraídos em Outubro/2025.,,,,7 Lago de Tucuruí,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri lago de tucurui.xlsx",Lago de Tucuruí
