EstadoMunicpio,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
RI Lago de Tucuruí,2458776711428831.0,1460375717699384.0,1325.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Breu Branco,2911873630770856.0,116498287730936.0,164.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Goianésia do Pará,4.06414243139889e+16,302060412190524.0,239.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Itupiranga,5103139168705461.0,212994619419264.0,181.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Jacundá,1539924685521624.0,265840863795549.0,44.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Nova Ipixuna,1.1876623747383862e+16,22895148173915.0,48.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Novo Repartimento,8899323393637147.0,693716791770768.0,550.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Tucuruí,8817014295159435.0,856263720344223.0,99.0,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
Fonte: PRODES - INPE-TERRABRASILIS/Queimadas,,,,7 Lago de Tucuruí,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 - ri lago de tucurui.xlsx",Lago de Tucuruí
