Par,col,191,101220,12640,114051,73,407,221043,28312,249835,2079,136328,1036295,130742,1305444,8585,312964,133,29064,350746,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Lago de Tucuruí,-,-,5466.0,185,5651.0,-,-,9670.0,440.0,10110.0,-,-,50102.0,3071.0,53173.0,502,12308.0,-,655,13465.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Breu Branco,-,-,889.0,-,889.0,-,-,1362.0,19.0,1381.0,-,-,6868.0,118.0,6986.0,-,1609.0,-,-,1609.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Goianésia do Pará,-,-,552.0,35,587.0,-,-,812.0,59.0,871.0,-,-,4188.0,188.0,4376.0,-,1047.0,-,92,1139.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Itupiranga,-,-,622.0,11,633.0,-,-,1478.0,26.0,1504.0,-,-,7458.0,39.0,7497.0,-,1964.0,-,-,1964.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Jacundá,-,-,890.0,18,908.0,-,-,1094.0,106.0,1200.0,-,-,5175.0,914.0,6089.0,-,1373.0,-,216,1589.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Nova Ipixuna,-,-,205.0,-,205.0,-,-,428.0,,428.0,-,-,2097.0,,2097.0,-,415.0,-,-,415.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Novo Repartimento,-,-,720.0,20,740.0,-,-,2002.0,27.0,2029.0,-,-,11225.0,323.0,11548.0,-,2273.0,-,127,2400.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Tucuruí,-,-,1588.0,101,1689.0,-,-,2494.0,203.0,2697.0,-,-,13091.0,1489.0,14580.0,502,3627.0,-,220,4349.0,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Fonte: MEC - INEP,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,7 Lago de Tucuruí,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí","..\..\Desktop\tabelas-powerBI\7 Lago de Tucuruí\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri lago de tucuruí.xlsx",Lago de Tucuruí
