EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
RI Marajó,1795625.0,1.7394117647058824e+16,1.865882352941176e+16,2.751764705882353e+16,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Afuá,314.0,212.0,175.0,257.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Anajás,207.0,178.0,164.0,226.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Bagre,,233.0,211.0,294.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Breves,192.0,199.0,207.0,292.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,251.0,205.0,193.0,27.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Chaves,97.0,135.0,128.0,182.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Curralinho,198.0,183.0,208.0,233.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Gurupá,202.0,162.0,215.0,291.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
Melgaço,278.0,175.0,178.0,25.0,8 Marajó,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri marajo.xlsx,Marajó
