Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,2116.0,3.3553588220089976e+16,6.12476370510397e+16,3.87523629489603e+16,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Afuá,102.0,2.5344133578492276e+16,6568627450980392.0,3431372549019608.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Anajás,90.0,2.9997000299970004e+16,6555555555555556.0,3444444444444444.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Bagre,85.0,2.4543065862039092e+16,6235294117647059.0,3764705882352941.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Breves,423.0,3.676630363925563e+16,6.193853427895981e+16,3.8061465721040184e+16,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Cachoeira do Arari,112.0,4436873588717664.0,5267857142857143.0,4732142857142857.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Chaves,35.0,1.6288918881183972e+16,5142857142857142.0,4857142857142857.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Curralinho,122.0,3346958931167869.0,5983606557377049.0,4016393442622951.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Gurupá,91.0,2682624845233182.0,6153846153846154.0,3846153846153847.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Melgaço,55.0,184279300408765.0,690909090909091.0,3.0909090909090908e+16,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Muaná,124.0,2.5329384128281076e+16,6.048387096774194e+16,3.951612903225806e+16,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
Oeiras do Pará,109.0,2.996398823432389e+16,6605504587155964.0,3394495412844037.0,0.0,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó
