Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Marajó,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,2116.0
Afuá,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,102.0
Anajás,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,90.0
Bagre,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,85.0
Breves,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,423.0
Cachoeira do Arari,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,112.0
Chaves,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,35.0
Curralinho,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,122.0
Gurupá,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,91.0
Melgaço,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,55.0
Muaná,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,124.0
Oeiras do Pará,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,109.0
Ponta de Pedras,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,116.0
Portel,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,232.0
Salvaterra,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,138.0
Santa Cruz do Arari,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,30.0
São Sebastião da Boa Vista,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,94.0
Soure,8 Marajó,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri marajo.xlsx,Marajó,45314,158.0
