Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Anajás,HMA TEONILA SOARES ALVES ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Bagre,HOSPITAL MUNICIPAL DE BAGRE ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Breves,HOSPITAL MUNICIPAL MARIA SANTANA ROCHA FRANCO ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
,HOSPITAL REGIONAL PUBLICO DO MARAJO ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Cachoeira do Arari,HOSPITAL MUNICIPAL SOCORRO DE FATIMA FIGUEIREDO ATHAR ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Chaves,HOSPITAL MUNICIPAL DE CHAVES ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Curralinho,HOSPITAL MUNICIPAL DE CURRALINHO ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Gurupá,HOSPITAL MUNICIPAL DE GURUPA JAIME ABENATHAR ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Muaná,HOSPITAL MUNICIPAL DE MUANA ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Oeiras do Pará,HOSPITAL DE PEQUENO PORTE ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
Portel,HOSPITAL GERAL DE PORTEL DR WILSON DA MOTTA SILVEIRA ,Hospital Geral,8 Marajó,19,Caracterização Hospitalar por  Tipo - 2025 ri marajo,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri marajo.xlsx,Marajó
