EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
RI Marajó,635901.0,106661294.0,5961872167048714.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Afuá,40473.0,8338438.0,4.853786764379612e+16,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Anajás,30247.0,691364.0,437497468771877.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Bagre,35147.0,4397321.0,7992821083564288.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Breves,116058.0,9566499.0,1213171087981089.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Cachoeira do Arari,25467.0,3100261.0,8214469684971684.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Chaves,21501.0,12534995.0,1.7152779079688504e+16,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Curralinho,36814.0,361735.0,1017706331983358.0,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
Gurupá,34137.0,8569676.0,3.983464485705178e+16,8 Marajó,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_marajó.xlsx",Marajó
