Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Marajó,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,547.0
Afuá,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,30.0
Anajás,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,20.0
Bagre,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,15.0
Breves,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,140.0
Cachoeira do Arari,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,22.0
Chaves,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,16.0
Curralinho,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,26.0
Gurupá,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,23.0
Melgaço,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,15.0
Muaná,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,42.0
Oeiras do Pará,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,15.0
Ponta de Pedras,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,20.0
Portel,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,49.0
Salvaterra,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,19.0
Santa Cruz do Arari,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,15.0
São Sebastião da Boa Vista,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,32.0
Soure,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,48.0
Fonte: DATASUS,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,
Elaboração: FAPESPA,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,
*Nota: Dados referentes a Outubro/2025.,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,11569,
RI Marajó,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Afuá,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Anajás,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Bagre,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Breves,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Cachoeira do Arari,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Chaves,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
Curralinho,8 Marajó,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri marajo.xlsx,Marajó,3762,0.0
