Par,1445663,154931,99624,261547,868244,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,44051.0,940.0,402,3141.0,38698.0,870,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Afuá,1704.0,228.0,40,66.0,1370.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Anajás,1214.0,46.0,2,90.0,1076.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Bagre,797.0,,-,53.0,742.0,2,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Breves,11140.0,213.0,69,1328.0,9530.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Cachoeira do Arari,947.0,92.0,-,92.0,699.0,64,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Chaves,1081.0,12.0,1,39.0,741.0,288,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Curralinho,1276.0,4.0,-,40.0,1232.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Gurupá,4318.0,40.0,-,85.0,4193.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Melgaço,4100.0,1.0,3,57.0,4039.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Muaná,1265.0,11.0,74,52.0,1092.0,36,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Oeiras do Pará,1127.0,7.0,-,61.0,1058.0,1,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Ponta de Pedras,1045.0,5.0,5,116.0,839.0,80,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Portel,6911.0,113.0,162,405.0,6088.0,143,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Salvaterra,2213.0,143.0,19,215.0,1790.0,46,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Santa Cruz do Arari,1731.0,2.0,-,8.0,1698.0,23,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,884.0,3.0,1,26.0,854.0,-,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Soure,2298.0,20.0,26,408.0,1657.0,187,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Fonte: MTE-RAIS,,,,,,,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,,,,,8 Marajó,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri marajo.xlsx,Marajó
