Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Marajó,44051.0,3300.0,1552.0,974.0,2705.0,5473.0,1130.0,14114.0,641.0,14162.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Afuá,1704.0,28.0,37.0,45.0,103.0,209.0,26.0,487.0,16.0,753.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Anajás,1214.0,1.0,5.0,4.0,135.0,322.0,50.0,361.0,13.0,323.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Bagre,797.0,461.0,0.0,0.0,4.0,28.0,11.0,195.0,3.0,95.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Breves,11140.0,269.0,323.0,154.0,424.0,1157.0,262.0,3721.0,178.0,4652.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Cachoeira do Arari,947.0,14.0,23.0,21.0,28.0,350.0,38.0,313.0,6.0,154.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Chaves,1081.0,10.0,80.0,39.0,75.0,232.0,65.0,245.0,7.0,328.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Curralinho,1276.0,0.0,0.0,0.0,3.0,340.0,4.0,356.0,4.0,569.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Gurupá,4318.0,8.0,244.0,38.0,115.0,733.0,189.0,1297.0,58.0,1636.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Melgaço,4100.0,283.0,682.0,585.0,204.0,567.0,135.0,195.0,9.0,1440.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Muaná,1265.0,4.0,11.0,4.0,181.0,97.0,28.0,585.0,35.0,320.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Oeiras do Pará,1127.0,494.0,4.0,2.0,1.0,21.0,7.0,463.0,1.0,134.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Ponta de Pedras,1045.0,7.0,11.0,11.0,21.0,145.0,45.0,432.0,11.0,362.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Portel,6911.0,1365.0,36.0,23.0,1271.0,604.0,147.0,1861.0,239.0,1365.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Salvaterra,2213.0,1.0,16.0,16.0,50.0,116.0,71.0,1423.0,35.0,485.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Santa Cruz do Arari,1731.0,9.0,22.0,1.0,48.0,81.0,20.0,920.0,18.0,612.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
São Sebastião da Boa Vista,884.0,341.0,10.0,1.0,5.0,30.0,1.0,143.0,1.0,352.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Soure,2298.0,5.0,48.0,30.0,37.0,441.0,31.0,1117.0,7.0,582.0,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Fonte: MTE-RAIS,,,,,,,,,,,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
Elaboração: FAPESPA,,,,,,,,,,,8 Marajó,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri marajo.xlsx,Marajó
