EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,2211.0
RI Marajó,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,84.0
Afuá,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,5.0
Anajás,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,4.0
Bagre,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,1.0
Breves,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,21.0
Cachoeira do Arari,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,0.0
Chaves,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,3.0
Curralinho,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,3.0
Gurupá,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,3.0
Melgaço,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,1.0
Muaná,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,2.0
Oeiras do Pará,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,6.0
Ponta de Pedras,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,2.0
Portel,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,15.0
Salvaterra,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,5.0
Santa Cruz do Arari,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,0.0
São Sebastião da Boa Vista,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,9.0
Soure,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,4.0
Fonte: DATASUS,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,
Elaboração: FAPESPA,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,
*Dados Preliminares extraídos em Outubro/2025.,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,bitos_por_Agresses_,
Pará,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,8664306.0
RI Marajó,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,630633.0
Afuá,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,40246.0
Anajás,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,30003.0
Bagre,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,34633.0
Breves,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,115051.0
Cachoeira do Arari,8 Marajó,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri marajo.xlsx",Marajó,Populao_Total,25243.0
