EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1759.0
RI Marajó,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,37.0
Afuá,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1.0
Anajás,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1.0
Bagre,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1.0
Breves,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,7.0
Cachoeira do Arari,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,0.0
Chaves,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1.0
Curralinho,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,0.0
Gurupá,8 Marajó,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 ri marajo.xlsx",Marajó,bitos_por_Acidentes_de_Trnsito_,1.0
