EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,2914860687628959.0
RI Marajó,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,6546408966112887.0
Afuá,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,3.0540904488939284e+16
Anajás,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,1873227987288701.0
Bagre,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,2.3983830332677296e+16
Breves,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,5541903999848046.0
Cachoeira do Arari,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,8769032388521214.0
Chaves,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,1.1167642488639116e+16
Curralinho,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,2321539831764772.0
Gurupá,8 Marajó,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri marajo.xlsx",Marajó,Desflorestamento_Acumulado_km,1.4757722673735694e+16
