EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
RI Marajó,3.0518103089022464e+16,315825659268621.0,1503735726104799.0,5128628303986087.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Afuá,4034627088197221.0,4704250485762647.0,1069355865505337.0,4425592020887096.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Anajás,1580335374399528.0,3241152826009859.0,1.5556846453937916e+16,6539864697605694.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Bagre,3483042097057584.0,2.6007674435979532e+16,9395958056032498.0,5317285312335266.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Breves,7190556784198941.0,3906134215334891.0,2.7692032171250908e+16,6121127670914562.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Cachoeira do Arari,3833535285977624.0,3146414533673783.0,1465405176056756.0,4386418084598241.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Chaves,4534233681424551.0,1299269744276298.0,5699094120871049.0,4765929891357399.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Curralinho,203178051196647.0,2362070382205538.0,1.2609100785181534e+16,6471102335022397.0,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
Gurupá,2428125409800256.0,2582551804421488.0,1.3905336992721788e+16,5.92308567975856e+16,100.0,8 Marajó,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri marajo.xlsx,Marajó
