EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
RI Marajó,63749.0,62895.0,62880.0,66160.0,120267.0,92435.0,71530.0,45332.0,28356.0,15291.0,7006.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Afuá,4139.0,4169.0,4165.0,4145.0,7486.0,5743.0,4498.0,2927.0,1830.0,958.0,413.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Anajás,3432.0,3299.0,3189.0,3356.0,5845.0,4254.0,3157.0,1862.0,1051.0,567.0,235.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Bagre,4323.0,4222.0,4336.0,4060.0,6860.0,4705.0,3058.0,1798.0,1065.0,495.0,225.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Breves,12669.0,12200.0,11719.0,12110.0,22211.0,16203.0,12348.0,7666.0,4911.0,2752.0,1269.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Cachoeira do Arari,2024.0,2132.0,2221.0,2294.0,4530.0,4153.0,3232.0,2195.0,1526.0,778.0,382.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Chaves,2239.0,2249.0,2250.0,2271.0,3854.0,3031.0,2379.0,1531.0,968.0,527.0,202.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Curralinho,3782.0,3677.0,3653.0,3991.0,7306.0,5484.0,4030.0,2368.0,1356.0,781.0,386.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Gurupá,3458.0,3389.0,3368.0,3659.0,6770.0,4905.0,3682.0,2309.0,1425.0,765.0,407.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Melgaço,3778.0,3537.0,3638.0,3719.0,5839.0,3758.0,2662.0,1556.0,889.0,495.0,209.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Muaná,4297.0,4385.0,4428.0,4741.0,9287.0,7850.0,6378.0,3882.0,2490.0,1326.0,584.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Oeiras do Pará,3544.0,3546.0,3636.0,3941.0,6968.0,5392.0,4211.0,2672.0,1541.0,855.0,428.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
Ponta de Pedras,1881.0,2013.0,2176.0,2476.0,4500.0,4043.0,3494.0,2414.0,1572.0,802.0,365.0,8 Marajó,3,População_por_Faixa_Etária_-_2025_ri_marajó,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_marajó.xlsx,Marajó
