EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,2810011.0
RI Marajó,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,34538.0
Afuá,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,12.0
Anajás,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,647.0
Bagre,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,457.0
Breves,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,12193.0
Cachoeira do Arari,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,1552.0
Chaves,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,34.0
Curralinho,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,785.0
Gurupá,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,1162.0
Melgaço,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,416.0
Muaná,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,1533.0
Oeiras do Pará,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,1228.0
Ponta de Pedras,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,2009.0
Portel,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,3245.0
Salvaterra,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,3743.0
Santa Cruz do Arari,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,256.0
São Sebastião da Boa Vista,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,906.0
Soure,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,4360.0
Fonte: DENATRAN,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,
Elaboração: FAPESPA,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Total,
Pará,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Automvel,765312.0
RI Marajó,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Automvel,3102.0
Afuá,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Automvel,1.0
Anajás,8 Marajó,51,Total da Frota de Veículos por Tipo - 2024 ri marajó,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó,..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri marajó.xlsx,Marajó,Automvel,15.0
