Par,973,986,991,26,08,07,01,06,02,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Marajó,-,96.4,98.5,-,1.6,1.5,-,2,0,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,8762352941176471.0
Afuá,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,80.0
Anajás,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,809.0
Bagre,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,904.0
Breves,-,-,98.5,-,-,1.5,-,-,0,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,784.0
Cachoeira do Arari,-,95.6,-,-,0.7,-,-,3.7,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,944.0
Chaves,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,839.0
Curralinho,-,92.4,-,-,6.2,-,-,1.4,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,863.0
Gurupá,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,802.0
Melgaço,-,-,-,-,-,-,-,-,-,8 Marajó,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo","..\..\Desktop\tabelas-powerBI\8 Marajó\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri marajo.xlsx",Marajó,914,965.0
