Par,13678533514398037,4142176095852846,5848120491077079,009703413070075517,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,1.3015142765602728e+16,4426591981132076.0,5.545400943396226e+16,2800707547169811.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,1.4875199596604756e+16,5692090395480226.0,4251412429378531.0,5649717514124294.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Bonito,1.30789352208032e+16,1.7058823529411764e+16,8294117647058825.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Bragança,1361644605442022.0,524261015058561.0,4.729503625209146e+16,2788622420524261.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,1312697926243743.0,3.968871595330739e+16,6.031128404669261e+16,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Capanema,1.1816917976686986e+16,248868778280543.0,746606334841629.0,4524886877828055.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,9163889730384732.0,2809917355371901.0,71900826446281.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,8207143682811237.0,1.4084507042253522e+16,8591549295774648.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Primavera,1111895517119661.0,3.968253968253968e+16,6.031746031746032e+16,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Quatipuru,1.0951979780960404e+16,2846153846153846.0,7076923076923077.0,7692307692307693.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Salinópolis,1.4221059624647068e+16,3956204379562044.0,6029197080291971.0,145985401459854.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Santa Luzia do Pará,1.2867040580666448e+16,2893772893772894.0,7106227106227107.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Santarém Novo,1.1027095148078136e+16,3857142857142858.0,6142857142857143.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
São João de Pirabas,1.2076281064950808e+16,4401544401544402.0,5598455598455598.0,0.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Tracuateua,1.1984328186218022e+16,467032967032967.0,5302197802197802.0,2.747252747252747e+16,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Viseu,1.4087461675004034e+16,5.9221076746849944e+16,4043528064146621.0,3436426116838488.0,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Fonte: DATASUS,,,,,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
Elaboração: FAPESPA,,,,,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,9 Rio Caeté,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri rio caete.xlsx,Rio Caeté
