Par,11569,3762,15331,2384,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,740.0,78.0,818.0,89.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,73.0,10.0,83.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Bonito,0.0,0.0,0.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Bragança,250.0,45.0,295.0,50.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,0.0,0.0,0.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Capanema,237.0,23.0,260.0,32.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,6.0,0.0,6.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,0.0,0.0,0.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Primavera,10.0,0.0,10.0,1.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
Quatipuru,0.0,0.0,0.0,0.0,9 Rio Caeté,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri rio caete.xlsx,Rio Caeté
