Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Caeté,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,2150179231337796.0
Augusto Corrêa,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,206849307716432.0
Bonito,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,191182474632855.0
Bragança,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,273628474999998.0
Cachoeira do Piriá,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,165432573025853.0
Capanema,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,248330519009976.0
Nova Timboteua,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,176754949260047.0
Peixe-Boi,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,235599396825399.0
Primavera,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,214847784461151.0
Quatipuru,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,200994521827403.0
Salinópolis,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,214812685356737.0
Santa Luzia do Pará,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,271679596401042.0
Santarém Novo,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,249541191763195.0
São João de Pirabas,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,212496183835187.0
Tracuateua,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,290810397448983.0
Viseu,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,723087904424354.0
Fonte: MTE-RAIS,9 Rio Caeté,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio caete.xlsx,Rio Caeté,326240796288622,
