EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,8144011.0
RI Rio Caeté,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,3.3718e+16
Augusto Corrêa,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,1967.0
Bonito,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,36.0
Bragança,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,1548.0
Cachoeira do Piriá,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,8458.0
Capanema,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,607.0
Nova Timboteua,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,863.0
Peixe-Boi,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,666.0
Primavera,9 Rio Caeté,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio caete.xlsx,Rio Caeté,rea_de_Floresta_km,499.0
