EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.0119479036388216e+16
RI Rio Caeté,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.7082411035515612e+16
Augusto Corrêa,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.9179613745796344e+16
Bonito,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.5985505821972864e+16
Bragança,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.4559064788303728e+16
Cachoeira do Piriá,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1963846241075223.0
Capanema,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,1.1822410395847008e+16
Nova Timboteua,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,2.0521814172480056e+16
Peixe-Boi,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,2.7578442431633216e+16
Primavera,9 Rio Caeté,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri rio caete.xlsx,Rio Caeté,_Participao_VA_Agropecuria,2022582958525498.0
