EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
RI Rio Caeté,8368944128999999.0,493001.0,1.6975511467522378e+16,5424220076019756.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Augusto Corrêa,490156571.0,44573.0,1099671.0,3.513801352394425e+16,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Bonito,147258247.0,12622.0,1166679.0,372791339228749.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Bragança,1977329959.0,123082.0,1606514.0,5133327209538652.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Cachoeira do Piriá,237908343.0,19630.0,1211963.0,3872610288397171.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Capanema,1883282118.0,70394.0,2675345.0,8548584875950775.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Nova Timboteua,185076503.0,12806.0,1445233.0,4617982714762009.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Peixe-Boi,100656898.0,8285.0,1214929.0,3882087609169658.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Primavera,564056454.0,10851.0,5198198.0,1.6609908929501642e+16,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Quatipuru,147129344.0,11524.0,1276721.0,4079532857036662.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
Salinópolis,802287288.0,44772.0,179194.0,5725822719167522.0,9 Rio Caeté,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri rio caete.xlsx",Rio Caeté
