Par,23001070720,2051340906,20949729814,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,26444287,8452134,17992153.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Augusto Corrêa,17581807,19493,17562314.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Bonito,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Bragança,8710070,23070,8687000.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Cachoeira do Piriá,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Capanema,152410,0,152410.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Nova Timboteua,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Peixe-Boi,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Primavera,0,8405703,-8405703.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Quatipuru,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Salinópolis,0,3868,-3868.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Santa Luzia do Pará,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Santarém Novo,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
São João de Pirabas,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Tracuateua,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Viseu,,,0.0,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Fonte: MDIC - COMEX STAT,,,,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
Elaboração: FAPESPA,,,,9 Rio Caeté,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri caete.xlsx",Rio Caeté
