Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Caeté,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,60668.0
Augusto Corrêa,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,2120.0
Bonito,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1203.0
Bragança,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,16670.0
Cachoeira do Piriá,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1051.0
Capanema,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,20438.0
Nova Timboteua,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1686.0
Peixe-Boi,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,938.0
Primavera,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1027.0
Quatipuru,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,708.0
Salinópolis,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,7443.0
Santa Luzia do Pará,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,2149.0
Santarém Novo,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,511.0
São João de Pirabas,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1391.0
Tracuateua,9 Rio Caeté,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio caeté.xlsx,Rio Caeté,1382057,1739.0
