EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
RI Rio Caeté,121330.0,29042.0,2739.0,748.0,8445.0,1272.0,141.0,255.0,58849.0,14207.0,1334.0,2143.0,1252.0,68.0,799.0,36.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Augusto Corrêa,4785.0,1169.0,100.0,4.0,406.0,34.0,3.0,5.0,2557.0,326.0,111.0,43.0,4.0,2.0,21.0,0.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Bonito,2341.0,707.0,73.0,23.0,174.0,18.0,1.0,11.0,1001.0,125.0,140.0,38.0,15.0,0.0,14.0,1.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Bragança,34226.0,7748.0,745.0,103.0,2553.0,321.0,57.0,46.0,17214.0,4258.0,336.0,443.0,136.0,13.0,245.0,8.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Cachoeira do Piriá,2473.0,573.0,75.0,6.0,313.0,26.0,0.0,8.0,1228.0,143.0,39.0,43.0,2.0,1.0,15.0,1.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Capanema,39683.0,9817.0,959.0,467.0,2565.0,390.0,42.0,43.0,17156.0,6097.0,152.0,792.0,827.0,27.0,340.0,9.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Nova Timboteua,2894.0,870.0,80.0,10.0,238.0,51.0,1.0,8.0,1292.0,191.0,26.0,103.0,13.0,1.0,10.0,0.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Peixe-Boi,1792.0,610.0,33.0,4.0,87.0,28.0,2.0,10.0,763.0,133.0,36.0,46.0,30.0,2.0,7.0,1.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
Primavera,1962.0,558.0,51.0,7.0,135.0,21.0,0.0,19.0,925.0,164.0,26.0,33.0,13.0,0.0,10.0,0.0,9 Rio Caeté,51,Total da Frota de Veículos por Tipo - 2024 ri rio caeté,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio caeté.xlsx,Rio Caeté
