Par,col,191,101220,12640,114051,73,407,221043,28312,249835,2079,136328,1036295,130742,1305444,8585,312964,133,29064,350746,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,-,-,5547.0,242,5789.0,-,-,14206.0,712,14918.0,-,13668,62053.0,4052,79773.0,556,21606.0,-,885,23047.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Augusto Corrêa,-,-,394.0,8,402.0,-,-,1517.0,4,1521.0,-,-,8652.0,32,8684.0,-,2141.0,-,-,2141.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Bonito,-,-,102.0,-,102.0,-,-,372.0,14,386.0,-,768,898.0,41,1707.0,-,549.0,-,-,549.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Bragança,-,-,438.0,142,580.0,-,-,3448.0,282,3730.0,-,5873,12566.0,1581,20020.0,556,4969.0,-,353,5878.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Cachoeira do Piriá,-,-,259.0,-,259.0,-,-,671.0,-,671.0,-,-,3474.0,-,3474.0,-,876.0,-,-,876.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Capanema,-,-,1022.0,60,1082.0,-,-,1477.0,303,1780.0,-,3755,4287.0,1856,9898.0,-,2626.0,-,428,3054.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Nova Timboteua,-,-,158.0,-,158.0,-,-,270.0,-,270.0,-,-,1606.0,-,1606.0,-,594.0,-,-,594.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Peixe-Boi,-,-,268.0,-,268.0,-,-,213.0,-,213.0,-,-,1119.0,-,1119.0,-,347.0,-,-,347.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Primavera,-,-,190.0,-,190.0,-,-,361.0,-,361.0,-,814,903.0,-,1717.0,-,545.0,-,-,545.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Quatipuru,-,-,128.0,-,128.0,-,-,318.0,-,318.0,-,766,946.0,-,1712.0,-,423.0,-,-,423.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Salinópolis,-,-,479.0,32,511.0,-,-,1299.0,78,1377.0,-,1692,4758.0,406,6856.0,-,2023.0,-,104,2127.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
Santa Luzia do Pará,-,-,201.0,-,201.0,-,-,565.0,13,578.0,-,-,3070.0,71,3141.0,-,919.0,-,-,919.0,9 Rio Caeté,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri rio caeté.xlsx",Rio Caeté
